usid,timestamp,rrc_conn
0123456,2026-05-01T00:00:00Z,208
0123456,2026-05-01T01:00:00Z,210
0123456,2026-05-01T02:00:00Z,216
0123456,2026-05-01T03:00:00Z,226
0123456,2026-05-01T04:00:00Z,238
0123456,2026-05-01T05:00:00Z,253
0123456,2026-05-01T06:00:00Z,268
0123456,2026-05-01T07:00:00Z,284
0123456,2026-05-01T08:00:00Z,298
0123456,2026-05-01T09:00:00Z,311
0123456,2026-05-01T10:00:00Z,320
0123456,2026-05-01T11:00:00Z,326
0123456,2026-05-01T12:00:00Z,328
0123456,2026-05-01T13:00:00Z,326
0123456,2026-05-01T14:00:00Z,320
0123456,2026-05-01T15:00:00Z,311
0123456,2026-05-01T16:00:00Z,298
0123456,2026-05-01T17:00:00Z,284
0123456,2026-05-01T18:00:00Z,268
0123456,2026-05-01T19:00:00Z,253
0123456,2026-05-01T20:00:00Z,238
0123456,2026-05-01T21:00:00Z,226
0123456,2026-05-01T22:00:00Z,216
0123456,2026-05-01T23:00:00Z,210
0123456,2026-05-02T00:00:00Z,198
0123456,2026-05-02T01:00:00Z,200
0123456,2026-05-02T02:00:00Z,206
0123456,2026-05-02T03:00:00Z,215
0123456,2026-05-02T04:00:00Z,228
0123456,2026-05-02T05:00:00Z,242
0123456,2026-05-02T06:00:00Z,258
0123456,2026-05-02T07:00:00Z,273
0123456,2026-05-02T08:00:00Z,288
0123456,2026-05-02T09:00:00Z,300
0123456,2026-05-02T10:00:00Z,309
0123456,2026-05-02T11:00:00Z,315
0123456,2026-05-02T12:00:00Z,318
0123456,2026-05-02T13:00:00Z,315
0123456,2026-05-02T14:00:00Z,309
0123456,2026-05-02T15:00:00Z,300
0123456,2026-05-02T16:00:00Z,288
0123456,2026-05-02T17:00:00Z,273
0123456,2026-05-02T18:00:00Z,258
0123456,2026-05-02T19:00:00Z,242
0123456,2026-05-02T20:00:00Z,228
0123456,2026-05-02T21:00:00Z,215
0123456,2026-05-02T22:00:00Z,206
0123456,2026-05-02T23:00:00Z,200
0123456,2026-05-03T00:00:00Z,201
0123456,2026-05-03T01:00:00Z,203
0123456,2026-05-03T02:00:00Z,209
0123456,2026-05-03T03:00:00Z,219
0123456,2026-05-03T04:00:00Z,231
0123456,2026-05-03T05:00:00Z,246
0123456,2026-05-03T06:00:00Z,261
0123456,2026-05-03T07:00:00Z,277
0123456,2026-05-03T08:00:00Z,291
0123456,2026-05-03T09:00:00Z,304
0123456,2026-05-03T10:00:00Z,313
0123456,2026-05-03T11:00:00Z,319
0123456,2026-05-03T12:00:00Z,321
0123456,2026-05-03T13:00:00Z,319
0123456,2026-05-03T14:00:00Z,313
0123456,2026-05-03T15:00:00Z,304
0123456,2026-05-03T16:00:00Z,291
0123456,2026-05-03T17:00:00Z,277
0123456,2026-05-03T18:00:00Z,261
0123456,2026-05-03T19:00:00Z,246
0123456,2026-05-03T20:00:00Z,231
0123456,2026-05-03T21:00:00Z,219
0123456,2026-05-03T22:00:00Z,209
0123456,2026-05-03T23:00:00Z,203
0123456,2026-05-04T00:00:00Z,217
0123456,2026-05-04T01:00:00Z,219
0123456,2026-05-04T02:00:00Z,225
0123456,2026-05-04T03:00:00Z,235
0123456,2026-05-04T04:00:00Z,247
0123456,2026-05-04T05:00:00Z,261
0123456,2026-05-04T06:00:00Z,277
0123456,2026-05-04T07:00:00Z,293
0123456,2026-05-04T08:00:00Z,307
0123456,2026-05-04T09:00:00Z,319
0123456,2026-05-04T10:00:00Z,329
0123456,2026-05-04T11:00:00Z,335
0123456,2026-05-04T12:00:00Z,337
0123456,2026-05-04T13:00:00Z,335
0123456,2026-05-04T14:00:00Z,329
0123456,2026-05-04T15:00:00Z,319
0123456,2026-05-04T16:00:00Z,307
0123456,2026-05-04T17:00:00Z,293
0123456,2026-05-04T18:00:00Z,277
0123456,2026-05-04T19:00:00Z,261
0123456,2026-05-04T20:00:00Z,247
0123456,2026-05-04T21:00:00Z,235
0123456,2026-05-04T22:00:00Z,225
0123456,2026-05-04T23:00:00Z,219
0123456,2026-05-05T00:00:00Z,233
0123456,2026-05-05T01:00:00Z,235
0123456,2026-05-05T02:00:00Z,241
0123456,2026-05-05T03:00:00Z,250
